Unnamed: 0,company_name,dc_date,dc_daily_count
8732,Basic Bank Limited,2019-01-16,1
8733,Basic Bank Limited,2019-05-02,1
8734,Basic Bank Limited,2020-09-16,2
8735,Basic Bank Limited,2020-10-22,5
8736,Basic Bank Limited,2020-10-25,2
8737,Basic Bank Limited,2020-10-27,1
8738,Basic Bank Limited,2021-01-10,10
8739,Basic Bank Limited,2021-01-14,1
8740,Basic Bank Limited,2021-02-04,3
8741,Basic Bank Limited,2021-02-15,4
8742,Basic Bank Limited,2021-02-17,8
8743,Basic Bank Limited,2021-02-18,1
8744,Basic Bank Limited,2021-02-22,7
8745,Basic Bank Limited,2021-02-23,2
8746,Basic Bank Limited,2021-03-04,3
8747,Basic Bank Limited,2021-03-07,4
8748,Basic Bank Limited,2021-03-15,3
8749,Basic Bank Limited,2021-03-21,2
8750,Basic Bank Limited,2021-03-22,1
8751,Basic Bank Limited,2021-03-24,2
8752,Basic Bank Limited,2021-03-25,114
8753,Basic Bank Limited,2021-03-26,42
8754,Basic Bank Limited,2021-03-27,20
8755,Basic Bank Limited,2021-03-28,133
8756,Basic Bank Limited,2021-03-29,39
8757,Basic Bank Limited,2021-03-30,9
8758,Basic Bank Limited,2021-03-31,51
8759,Basic Bank Limited,2021-04-01,19
8760,Basic Bank Limited,2021-04-02,3
8761,Basic Bank Limited,2021-04-03,8
8762,Basic Bank Limited,2021-04-04,35
8763,Basic Bank Limited,2021-04-05,21
8764,Basic Bank Limited,2021-04-06,29
8765,Basic Bank Limited,2021-04-07,34
8766,Basic Bank Limited,2021-04-08,27
8767,Basic Bank Limited,2021-04-09,5
8768,Basic Bank Limited,2021-04-10,9
8769,Basic Bank Limited,2021-04-11,28
8770,Basic Bank Limited,2021-04-12,35
8771,Basic Bank Limited,2021-04-13,162
8772,Basic Bank Limited,2021-04-14,105
8773,Basic Bank Limited,2021-04-15,105
8774,Basic Bank Limited,2021-04-16,32
8775,Basic Bank Limited,2021-04-17,34
8776,Basic Bank Limited,2021-04-18,38
8777,Basic Bank Limited,2021-04-19,44
8778,Basic Bank Limited,2021-04-20,49
8779,Basic Bank Limited,2021-04-21,20
8780,Basic Bank Limited,2021-04-22,26
8781,Basic Bank Limited,2021-04-23,43
8782,Basic Bank Limited,2021-04-24,16
8783,Basic Bank Limited,2021-04-25,69
8784,Basic Bank Limited,2021-04-26,67
8785,Basic Bank Limited,2021-04-27,40
8786,Basic Bank Limited,2021-04-28,32
8787,Basic Bank Limited,2021-04-29,41
8788,Basic Bank Limited,2021-04-30,24
8789,Basic Bank Limited,2021-05-01,18
8790,Basic Bank Limited,2021-05-02,35
8791,Basic Bank Limited,2021-05-03,40
8792,Basic Bank Limited,2021-05-04,62
8793,Basic Bank Limited,2021-05-05,74
8794,Basic Bank Limited,2021-05-06,62
8795,Basic Bank Limited,2021-05-07,13
8796,Basic Bank Limited,2021-05-08,20
8797,Basic Bank Limited,2021-05-09,56
8798,Basic Bank Limited,2021-05-10,23
8799,Basic Bank Limited,2021-05-11,37
8800,Basic Bank Limited,2021-05-12,38
8801,Basic Bank Limited,2021-05-13,18
8802,Basic Bank Limited,2021-05-14,12
8803,Basic Bank Limited,2021-05-15,14
8804,Basic Bank Limited,2021-05-16,48
8805,Basic Bank Limited,2021-05-17,39
8806,Basic Bank Limited,2021-05-18,40
8807,Basic Bank Limited,2021-05-19,37
8808,Basic Bank Limited,2021-05-20,59
8809,Basic Bank Limited,2021-05-21,18
8810,Basic Bank Limited,2021-05-22,10
8811,Basic Bank Limited,2021-05-23,31
8812,Basic Bank Limited,2021-05-24,70
8813,Basic Bank Limited,2021-05-25,64
8814,Basic Bank Limited,2021-05-26,24
8815,Basic Bank Limited,2021-05-27,30
8816,Basic Bank Limited,2021-05-28,9
8817,Basic Bank Limited,2021-05-29,12
8818,Basic Bank Limited,2021-05-30,48
8819,Basic Bank Limited,2021-05-31,58
8820,Basic Bank Limited,2021-06-01,48
8821,Basic Bank Limited,2021-06-02,55
8822,Basic Bank Limited,2021-06-03,58
8823,Basic Bank Limited,2021-06-04,7
8824,Basic Bank Limited,2021-06-05,9
8825,Basic Bank Limited,2021-06-06,64
8826,Basic Bank Limited,2021-06-07,64
8827,Basic Bank Limited,2021-06-08,59
8828,Basic Bank Limited,2021-06-09,63
8829,Basic Bank Limited,2021-06-10,56
8830,Basic Bank Limited,2021-06-11,2
8831,Basic Bank Limited,2021-06-13,82
8832,Basic Bank Limited,2021-06-14,59
8833,Basic Bank Limited,2021-06-15,72
8834,Basic Bank Limited,2021-06-16,57
8835,Basic Bank Limited,2021-06-17,53
8836,Basic Bank Limited,2021-06-18,9
8837,Basic Bank Limited,2021-06-19,19
8838,Basic Bank Limited,2021-06-20,79
8839,Basic Bank Limited,2021-06-21,69
8840,Basic Bank Limited,2021-06-22,58
8841,Basic Bank Limited,2021-06-23,52
8842,Basic Bank Limited,2021-06-24,76
8843,Basic Bank Limited,2021-06-25,22
8844,Basic Bank Limited,2021-06-26,10
8845,Basic Bank Limited,2021-06-27,78
8846,Basic Bank Limited,2021-06-28,67
8847,Basic Bank Limited,2021-06-29,47
8848,Basic Bank Limited,2021-06-30,67
8849,Basic Bank Limited,2021-07-01,35
8850,Basic Bank Limited,2021-07-02,63
8851,Basic Bank Limited,2021-07-03,14
8852,Basic Bank Limited,2021-07-04,21
8853,Basic Bank Limited,2021-07-05,44
8854,Basic Bank Limited,2021-07-06,60
8855,Basic Bank Limited,2021-07-07,52
8856,Basic Bank Limited,2021-07-08,41
8857,Basic Bank Limited,2021-07-09,14
8858,Basic Bank Limited,2021-07-10,15
8859,Basic Bank Limited,2021-07-11,27
8860,Basic Bank Limited,2021-07-12,36
8861,Basic Bank Limited,2021-07-13,58
8862,Basic Bank Limited,2021-07-14,119
8863,Basic Bank Limited,2021-07-15,160
8864,Basic Bank Limited,2021-07-16,12
8865,Basic Bank Limited,2021-07-17,19
8866,Basic Bank Limited,2021-07-18,67
8867,Basic Bank Limited,2021-07-19,44
8868,Basic Bank Limited,2021-07-20,7
8869,Basic Bank Limited,2021-07-21,3
8870,Basic Bank Limited,2021-07-22,6
8871,Basic Bank Limited,2021-07-23,8
8872,Basic Bank Limited,2021-07-24,13
8873,Basic Bank Limited,2021-07-25,63
8874,Basic Bank Limited,2021-07-26,92
8875,Basic Bank Limited,2021-07-27,71
8876,Basic Bank Limited,2021-07-28,44
8877,Basic Bank Limited,2021-07-29,39
8878,Basic Bank Limited,2021-07-30,12
8879,Basic Bank Limited,2021-07-31,23
8880,Basic Bank Limited,2021-08-01,18
8881,Basic Bank Limited,2021-08-02,49
8882,Basic Bank Limited,2021-08-03,55
8883,Basic Bank Limited,2021-08-04,14
8884,Basic Bank Limited,2021-08-05,66
8885,Basic Bank Limited,2021-08-06,10
8886,Basic Bank Limited,2021-08-07,9
8887,Basic Bank Limited,2021-08-08,12
8888,Basic Bank Limited,2021-08-09,53
8889,Basic Bank Limited,2021-08-10,75
8890,Basic Bank Limited,2021-08-11,59
8891,Basic Bank Limited,2021-08-12,69
8892,Basic Bank Limited,2021-08-13,17
8893,Basic Bank Limited,2021-08-14,11
8894,Basic Bank Limited,2021-08-15,9
8895,Basic Bank Limited,2021-08-16,70
8896,Basic Bank Limited,2021-08-17,79
8897,Basic Bank Limited,2021-08-18,56
8898,Basic Bank Limited,2021-08-19,44
8899,Basic Bank Limited,2021-08-20,11
8900,Basic Bank Limited,2021-08-21,18
8901,Basic Bank Limited,2021-08-22,73
8902,Basic Bank Limited,2021-08-23,61
8903,Basic Bank Limited,2021-08-24,107
8904,Basic Bank Limited,2021-08-25,91
8905,Basic Bank Limited,2021-08-26,143
8906,Basic Bank Limited,2021-08-27,17
8907,Basic Bank Limited,2021-08-28,23
8908,Basic Bank Limited,2021-08-29,45
8909,Basic Bank Limited,2021-08-30,21
8910,Basic Bank Limited,2021-08-31,69
8911,Basic Bank Limited,2021-09-01,54
8912,Basic Bank Limited,2021-09-02,65
8913,Basic Bank Limited,2021-09-03,2
8914,Basic Bank Limited,2021-09-04,7
8915,Basic Bank Limited,2021-09-05,54
8916,Basic Bank Limited,2021-09-06,56
8917,Basic Bank Limited,2021-09-07,88
8918,Basic Bank Limited,2021-09-08,62
8919,Basic Bank Limited,2021-09-09,49
8920,Basic Bank Limited,2021-09-10,14
8921,Basic Bank Limited,2021-09-11,14
8922,Basic Bank Limited,2021-09-12,63
8923,Basic Bank Limited,2021-09-13,64
8924,Basic Bank Limited,2021-09-14,84
8925,Basic Bank Limited,2021-09-15,145
8926,Basic Bank Limited,2021-09-16,121
8927,Basic Bank Limited,2021-09-17,13
8928,Basic Bank Limited,2021-09-18,20
8929,Basic Bank Limited,2021-09-19,115
8930,Basic Bank Limited,2021-09-20,145
8931,Basic Bank Limited,2021-09-21,198
8932,Basic Bank Limited,2021-09-22,234
8933,Basic Bank Limited,2021-09-23,181
8934,Basic Bank Limited,2021-09-24,11
8935,Basic Bank Limited,2021-09-25,13
8936,Basic Bank Limited,2021-09-26,240
8937,Basic Bank Limited,2021-09-27,322
8938,Basic Bank Limited,2021-09-28,337
8939,Basic Bank Limited,2021-09-29,296
8940,Basic Bank Limited,2021-09-30,246
8941,Basic Bank Limited,2021-10-01,26
8942,Basic Bank Limited,2021-10-02,16
8943,Basic Bank Limited,2021-10-03,69
8944,Basic Bank Limited,2021-10-04,74
8945,Basic Bank Limited,2021-10-05,76
8946,Basic Bank Limited,2021-10-06,56
8947,Basic Bank Limited,2021-10-07,58
8948,Basic Bank Limited,2021-10-08,8
8949,Basic Bank Limited,2021-10-09,9
8950,Basic Bank Limited,2021-10-10,57
8951,Basic Bank Limited,2021-10-11,59
8952,Basic Bank Limited,2021-10-12,81
8953,Basic Bank Limited,2021-10-13,45
8954,Basic Bank Limited,2021-10-14,62
8955,Basic Bank Limited,2021-10-15,9
8956,Basic Bank Limited,2021-10-16,12
8957,Basic Bank Limited,2021-10-17,66
8958,Basic Bank Limited,2021-10-18,52
8959,Basic Bank Limited,2021-10-19,134
8960,Basic Bank Limited,2021-10-20,6
8961,Basic Bank Limited,2021-10-21,50
8962,Basic Bank Limited,2021-10-22,8
8963,Basic Bank Limited,2021-10-23,11
8964,Basic Bank Limited,2021-10-24,45
8965,Basic Bank Limited,2021-10-25,56
8966,Basic Bank Limited,2021-10-26,59
8967,Basic Bank Limited,2021-10-27,84
8968,Basic Bank Limited,2021-10-28,48
8969,Basic Bank Limited,2021-10-29,10
8970,Basic Bank Limited,2021-10-30,17
8971,Basic Bank Limited,2021-10-31,64
8972,Basic Bank Limited,2021-11-01,34
8973,Basic Bank Limited,2021-11-02,48
8974,Basic Bank Limited,2021-11-03,33
8975,Basic Bank Limited,2021-11-04,50
8976,Basic Bank Limited,2021-11-05,8
8977,Basic Bank Limited,2021-11-06,7
8978,Basic Bank Limited,2021-11-07,25
8979,Basic Bank Limited,2021-11-08,60
8980,Basic Bank Limited,2021-11-09,46
8981,Basic Bank Limited,2021-11-10,69
8982,Basic Bank Limited,2021-11-11,54
8983,Basic Bank Limited,2021-11-12,5
8984,Basic Bank Limited,2021-11-13,11
8985,Basic Bank Limited,2021-11-14,44
8986,Basic Bank Limited,2021-11-15,46
8987,Basic Bank Limited,2021-11-16,50
8988,Basic Bank Limited,2021-11-17,54
8989,Basic Bank Limited,2021-11-18,57
8990,Basic Bank Limited,2021-11-19,5
8991,Basic Bank Limited,2021-11-20,13
8992,Basic Bank Limited,2021-11-21,59
8993,Basic Bank Limited,2021-11-22,63
8994,Basic Bank Limited,2021-11-23,45
8995,Basic Bank Limited,2021-11-24,112
8996,Basic Bank Limited,2021-11-25,97
8997,Basic Bank Limited,2021-11-26,11
8998,Basic Bank Limited,2021-11-27,22
8999,Basic Bank Limited,2021-11-28,78
9000,Basic Bank Limited,2021-11-29,73
9001,Basic Bank Limited,2021-11-30,87
9002,Basic Bank Limited,2021-12-01,75
9003,Basic Bank Limited,2021-12-02,43
9004,Basic Bank Limited,2021-12-03,12
9005,Basic Bank Limited,2021-12-04,12
9006,Basic Bank Limited,2021-12-05,60
9007,Basic Bank Limited,2021-12-06,44
9008,Basic Bank Limited,2021-12-07,52
9009,Basic Bank Limited,2021-12-08,52
9010,Basic Bank Limited,2021-12-09,58
9011,Basic Bank Limited,2021-12-10,24
9012,Basic Bank Limited,2021-12-11,15
9013,Basic Bank Limited,2021-12-12,68
9014,Basic Bank Limited,2021-12-13,77
9015,Basic Bank Limited,2021-12-14,66
9016,Basic Bank Limited,2021-12-15,62
9017,Basic Bank Limited,2021-12-16,8
9018,Basic Bank Limited,2021-12-17,11
9019,Basic Bank Limited,2021-12-18,12
9020,Basic Bank Limited,2021-12-19,21
9021,Basic Bank Limited,2021-12-20,72
9022,Basic Bank Limited,2021-12-21,74
9023,Basic Bank Limited,2021-12-22,70
9024,Basic Bank Limited,2021-12-23,67
9025,Basic Bank Limited,2021-12-24,12
9026,Basic Bank Limited,2021-12-25,18
9027,Basic Bank Limited,2021-12-26,53
9028,Basic Bank Limited,2021-12-27,43
9029,Basic Bank Limited,2021-12-28,41
9030,Basic Bank Limited,2021-12-29,49
9031,Basic Bank Limited,2021-12-30,69
9032,Basic Bank Limited,2021-12-31,27
9033,Basic Bank Limited,2022-01-01,86
9034,Basic Bank Limited,2022-01-02,66
9035,Basic Bank Limited,2022-01-03,72
9036,Basic Bank Limited,2022-01-04,65
9037,Basic Bank Limited,2022-01-05,38
9038,Basic Bank Limited,2022-01-06,77
9039,Basic Bank Limited,2022-01-07,8
9040,Basic Bank Limited,2022-01-08,13
9041,Basic Bank Limited,2022-01-09,57
9042,Basic Bank Limited,2022-01-10,66
9043,Basic Bank Limited,2022-01-11,68
9044,Basic Bank Limited,2022-01-12,56
9045,Basic Bank Limited,2022-01-13,70
9046,Basic Bank Limited,2022-01-14,19
9047,Basic Bank Limited,2022-01-15,12
9048,Basic Bank Limited,2022-01-16,44
9049,Basic Bank Limited,2022-01-17,42
9050,Basic Bank Limited,2022-01-18,43
9051,Basic Bank Limited,2022-01-19,61
9052,Basic Bank Limited,2022-01-20,65
9053,Basic Bank Limited,2022-01-21,5
9054,Basic Bank Limited,2022-01-22,7
9055,Basic Bank Limited,2022-01-23,45
9056,Basic Bank Limited,2022-01-24,43
9057,Basic Bank Limited,2022-01-25,70
9058,Basic Bank Limited,2022-01-26,81
9059,Basic Bank Limited,2022-01-27,54
9060,Basic Bank Limited,2022-01-28,3
9061,Basic Bank Limited,2022-01-29,15
9062,Basic Bank Limited,2022-01-30,58
9063,Basic Bank Limited,2022-01-31,68
9064,Basic Bank Limited,2022-02-01,38
9065,Basic Bank Limited,2022-02-02,58
9066,Basic Bank Limited,2022-02-03,23
9067,Basic Bank Limited,2022-02-06,18
9068,Basic Bank Limited,2022-02-07,32
9069,Basic Bank Limited,2022-02-08,36
9070,Basic Bank Limited,2022-02-09,29
9071,Basic Bank Limited,2022-02-10,36
9072,Basic Bank Limited,2022-02-13,12
9073,Basic Bank Limited,2022-02-14,30
9074,Basic Bank Limited,2022-02-15,29
9075,Basic Bank Limited,2022-02-16,54
9076,Basic Bank Limited,2022-02-17,75
9077,Basic Bank Limited,2022-02-20,23
9078,Basic Bank Limited,2022-02-22,18
9079,Basic Bank Limited,2022-02-23,32
9080,Basic Bank Limited,2022-02-24,45
9081,Basic Bank Limited,2022-02-27,34
9082,Basic Bank Limited,2022-02-28,30
9083,Basic Bank Limited,2022-03-01,45
9084,Basic Bank Limited,2022-03-02,33
9085,Basic Bank Limited,2022-03-03,29
9086,Basic Bank Limited,2022-03-06,20
9087,Basic Bank Limited,2022-03-07,26
9088,Basic Bank Limited,2022-03-08,47
9089,Basic Bank Limited,2022-03-09,29
9090,Basic Bank Limited,2022-03-10,36
9091,Basic Bank Limited,2022-03-13,52
9092,Basic Bank Limited,2022-03-14,50
9093,Basic Bank Limited,2022-03-15,48
9094,Basic Bank Limited,2022-03-16,24
9095,Basic Bank Limited,2022-03-20,35
9096,Basic Bank Limited,2022-03-21,94
9097,Basic Bank Limited,2022-03-22,96
9098,Basic Bank Limited,2022-03-23,40
9099,Basic Bank Limited,2022-03-24,48
9100,Basic Bank Limited,2022-03-27,65
9101,Basic Bank Limited,2022-03-28,57
9102,Basic Bank Limited,2022-03-29,38
9103,Basic Bank Limited,2022-03-30,48
9104,Basic Bank Limited,2022-03-31,30
9105,Basic Bank Limited,2022-04-03,18
9106,Basic Bank Limited,2022-04-04,17
9107,Basic Bank Limited,2022-04-05,33
9108,Basic Bank Limited,2022-04-06,21
9109,Basic Bank Limited,2022-04-07,48
9110,Basic Bank Limited,2022-04-10,27
9111,Basic Bank Limited,2022-04-11,30
9112,Basic Bank Limited,2022-04-12,40
9113,Basic Bank Limited,2022-04-13,31
9114,Basic Bank Limited,2022-04-17,19
9115,Basic Bank Limited,2022-04-18,12
9116,Basic Bank Limited,2022-04-19,33
9117,Basic Bank Limited,2022-04-20,34
9118,Basic Bank Limited,2022-04-21,20
9119,Basic Bank Limited,2022-04-24,41
9120,Basic Bank Limited,2022-04-25,69
9121,Basic Bank Limited,2022-04-26,68
9122,Basic Bank Limited,2022-04-27,117
9123,Basic Bank Limited,2022-04-28,98
9124,Basic Bank Limited,2022-04-30,3
9125,Basic Bank Limited,2022-05-05,16
9126,Basic Bank Limited,2022-05-08,34
9127,Basic Bank Limited,2022-05-09,38
9128,Basic Bank Limited,2022-05-10,39
9129,Basic Bank Limited,2022-05-11,34
9130,Basic Bank Limited,2022-05-12,49
9131,Basic Bank Limited,2022-05-16,36
9132,Basic Bank Limited,2022-05-17,27
9133,Basic Bank Limited,2022-05-18,26
9134,Basic Bank Limited,2022-05-19,36
9135,Basic Bank Limited,2022-05-22,20
9136,Basic Bank Limited,2022-05-23,26
9137,Basic Bank Limited,2022-05-24,21
9138,Basic Bank Limited,2022-05-25,16
9139,Basic Bank Limited,2022-05-26,26
9140,Basic Bank Limited,2022-05-29,29
9141,Basic Bank Limited,2022-05-30,15
9142,Basic Bank Limited,2022-05-31,60
9143,Basic Bank Limited,2022-06-01,36
9144,Basic Bank Limited,2022-06-02,37
9145,Basic Bank Limited,2022-06-05,19
9146,Basic Bank Limited,2022-06-06,48
9147,Basic Bank Limited,2022-06-07,41
9148,Basic Bank Limited,2022-06-08,31
9149,Basic Bank Limited,2022-06-09,23
9150,Basic Bank Limited,2022-06-12,28
9151,Basic Bank Limited,2022-06-13,40
9152,Basic Bank Limited,2022-06-14,28
9153,Basic Bank Limited,2022-06-15,34
9154,Basic Bank Limited,2022-06-16,37
9155,Basic Bank Limited,2022-06-19,19
9156,Basic Bank Limited,2022-06-20,32
9157,Basic Bank Limited,2022-06-21,38
9158,Basic Bank Limited,2022-06-22,28
9159,Basic Bank Limited,2022-06-23,16
9160,Basic Bank Limited,2022-06-26,24
9161,Basic Bank Limited,2022-06-27,22
9162,Basic Bank Limited,2022-06-28,23
9163,Basic Bank Limited,2022-06-29,25
9164,Basic Bank Limited,2022-06-30,23
9165,Basic Bank Limited,2022-07-03,39
9166,Basic Bank Limited,2022-07-04,61
